"ID","time","Lmean","Rmean","meanDiff"
14,-11,94.9387519671418,95.8430468209006,-0.90429485375887
14,-10.96,94.9387519671418,95.8430468209006,-0.90429485375887
14,-10.92,94.9387519671418,95.8430468209006,-0.90429485375887
14,-10.88,94.9387519671418,95.8430468209006,-0.90429485375887
14,-10.84,94.9387519671418,95.8430468209006,-0.90429485375887
14,-10.8,93.5723290363954,94.7589442732681,-1.1866152368727
14,-10.76,93.5723290363954,94.7589442732681,-1.1866152368727
14,-10.72,94.2709003428183,95.1732663481802,-0.902366005361912
14,-10.68,94.2709003428183,95.1732663481802,-0.902366005361912
14,-10.64,95.1032008283824,95.8874940705595,-0.784293242177185
14,-10.6,95.1032008283824,95.8874940705595,-0.784293242177185
14,-10.56,95.1032008283824,95.8874940705595,-0.784293242177185
14,-10.52,95.1032008283824,95.8874940705595,-0.784293242177185
14,-10.48,95.5589526191475,96.3738119613294,-0.814859342181848
14,-10.44,95.5589526191475,96.3738119613294,-0.814859342181848
14,-10.4,98.3084651817866,99.3307192363888,-1.02225405460226
14,-10.36,98.3084651817866,99.3307192363888,-1.02225405460226
14,-10.32,99.8846945828997,101.050956720463,-1.16626213756291
14,-10.28,99.8846945828997,101.050956720463,-1.16626213756291
14,-10.24,99.8846945828997,101.050956720463,-1.16626213756291
14,-10.2,99.8846945828997,101.050956720463,-1.16626213756291
14,-10.16,99.8021080908571,101.091615612473,-1.28950752161572
14,-10.12,99.8021080908571,101.091615612473,-1.28950752161572
14,-10.08,100.005841355782,101.276364490906,-1.27052313512336
14,-10.04,100.005841355782,101.276364490906,-1.27052313512336
14,-10,100.142566893012,101.238039499284,-1.0954726062719
14,-9.96,100.142566893012,101.238039499284,-1.0954726062719
14,-9.92,100.057878910044,101.136908252929,-1.07902934288481
14,-9.88,100.057878910044,101.136908252929,-1.07902934288481
14,-9.84,100.149899547998,101.230056685625,-1.0801571376266
14,-9.8,100.149899547998,101.230056685625,-1.0801571376266
14,-9.76,100.491369859572,101.729181524408,-1.23781166483629
14,-9.72,100.491369859572,101.729181524408,-1.23781166483629
14,-9.68,100.491369859572,101.729181524408,-1.23781166483629
14,-9.64,100.491369859572,101.729181524408,-1.23781166483629
14,-9.6,100.321329400819,101.600819753571,-1.27949035275148
14,-9.56,100.321329400819,101.600819753571,-1.27949035275148
14,-9.52,100.592408614309,102.023433988712,-1.43102537440311
14,-9.48,100.592408614309,102.023433988712,-1.43102537440311
14,-9.44,100.66937825765,101.968579651569,-1.29920139391879
14,-9.4,100.66937825765,101.968579651569,-1.29920139391879
14,-9.36,100.599267295399,101.832787543326,-1.23352024792705
14,-9.32,100.599267295399,101.832787543326,-1.23352024792705
14,-9.28,100.876109407471,101.717823402354,-0.841713994883776
14,-9.24,100.876109407471,101.717823402354,-0.841713994883776
14,-9.2,100.665455891317,101.491036582402,-0.825580691085577
14,-9.16,100.665455891317,101.491036582402,-0.825580691085577
14,-9.12,100.665455891317,101.491036582402,-0.825580691085577
14,-9.08,100.665455891317,101.491036582402,-0.825580691085577
14,-9.04,100.047445045181,100.896984150108,-0.849539104926947
14,-9,100.047445045181,100.896984150108,-0.849539104926947
14,-8.96,100.047445045181,100.896984150108,-0.849539104926947
14,-8.92,100.047445045181,100.896984150108,-0.849539104926947
14,-8.88,100.047445045181,100.896984150108,-0.849539104926947
14,-8.84,100.047445045181,100.896984150108,-0.849539104926947
14,-8.8,99.9227865454887,100.786791615116,-0.864005069627467
14,-8.76,99.9227865454887,100.786791615116,-0.864005069627467
14,-8.72,100.319604424123,101.152231499703,-0.832627075580788
14,-8.68,100.319604424123,101.152231499703,-0.832627075580788
14,-8.64,100.303043218564,101.029483449439,-0.726440230875227
14,-8.6,100.303043218564,101.029483449439,-0.726440230875227
14,-8.56,100.547130481629,101.203185729059,-0.656055247429961
14,-8.52,100.547130481629,101.203185729059,-0.656055247429961
14,-8.48,100.457674878879,101.069439655754,-0.611764776875191
14,-8.44,100.457674878879,101.069439655754,-0.611764776875191
14,-8.4,100.010824370995,100.543716362779,-0.53289199178387
14,-8.36,100.010824370995,100.543716362779,-0.53289199178387
14,-8.32,100.110540114563,100.588406073264,-0.477865958700804
14,-8.28,100.110540114563,100.588406073264,-0.477865958700804
14,-8.24,100.476912642911,100.529932548461,-0.053019905549931
14,-8.2,100.476912642911,100.529932548461,-0.053019905549931
14,-8.16,100.286860166622,100.337191472184,-0.0503313055618975
14,-8.12,100.286860166622,100.337191472184,-0.0503313055618975
14,-8.08,100.406241180089,100.466845475613,-0.0606042955240866
14,-8.04,100.406241180089,100.466845475613,-0.0606042955240866
14,-8,100.382193975049,100.466845475613,-0.0846515005644619
14,-7.96,100.382193975049,100.466845475613,-0.0846515005644619
14,-7.92,100.382193975049,100.466845475613,-0.0846515005644619
14,-7.88,100.382193975049,100.466845475613,-0.0846515005644619
14,-7.84,100.382193975049,100.466845475613,-0.0846515005644619
14,-7.8,100.382193975049,100.466845475613,-0.0846515005644619
14,-7.76,100.266779339777,100.300701285172,-0.0339219453955621
14,-7.72,100.266779339777,100.300701285172,-0.0339219453955621
14,-7.68,99.4894469273165,99.5351346827434,-0.0456877554268971
14,-7.64,99.4894469273165,99.5351346827434,-0.0456877554268971
14,-7.6,99.6079729290488,99.825563957867,-0.217591028818134
14,-7.56,99.6079729290488,99.825563957867,-0.217591028818134
14,-7.52,99.5040890032744,99.605345986926,-0.101256983651609
14,-7.48,99.5040890032744,99.605345986926,-0.101256983651609
14,-7.44,98.9323277864652,99.0831201495543,-0.150792363089096
